"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fscn12",4.23184354113766e-07,0.267384206248995,0.382,0.112,0.0118483155464772,"18","Fscn1"
"Zbtb38",5.02356493192924e-07,0.322080256507492,0.5,0.164,0.0140649770964155,"18","Zbtb38"
"Ifi271",5.02374544644476e-07,0.569481550223433,0.5,0.19,0.014065482500956,"18","Ifi27"
"Igsf31",5.65767301927257e-07,0.337203902252895,0.353,0.097,0.0158403529193593,"18","Igsf3"
"Lyz25",5.70852312506707e-07,0.919729218354791,0.941,0.665,0.0159827230455628,"18","Lyz2"
"Nrp11",6.1173477311289e-07,0.32881943685029,0.294,0.073,0.0171273501776147,"18","Nrp1"
"Rhoc5",6.32028379667629e-07,0.396976201502949,0.618,0.244,0.0176955305739343,"18","Rhoc"
"Add3",6.47664164424695e-07,0.389201429540028,0.382,0.114,0.0181333012755626,"18","Add3"
"Nfic1",8.82492305996225e-07,0.459967220797331,0.382,0.115,0.0247080195832823,"18","Nfic"
"1810037I17Rik4",9.90421576634284e-07,0.549634331445361,0.971,0.614,0.0277298233026067,"18","1810037I17Rik"
"Hnrnph12",1.0487013912e-06,0.585595160584481,0.794,0.404,0.0293615415508175,"18","Hnrnph1"
"Mid1",1.16685090506389e-06,0.379753044088355,0.294,0.077,0.0326694916399789,"18","Mid1"
"Clic46",1.19931490620134e-06,0.983219297066526,0.794,0.464,0.0335784187438252,"18","Clic4"
"Comt",1.47278340439884e-06,0.799616861199535,0.735,0.374,0.0412349897563587,"18","Comt"
"Nedd43",1.73931975527134e-06,0.58180349215401,0.5,0.197,0.0486974745080869,"18","Nedd4"
"Fabp54",1.76314460584774e-06,0.785209932488579,0.735,0.351,0.049364522674525,"18","Fabp5"
"Flot11",1.77250686188874e-06,0.323747028226557,0.529,0.195,0.049626647119161,"18","Flot1"
"Tmem205",2.13900243102262e-06,0.272467919428673,0.265,0.066,0.0598877900637714,"18","Tmem205"
"Ccdc85b1",2.18201547241456e-06,0.281110529310368,0.324,0.09,0.0610920691966628,"18","Ccdc85b"
"Ahnak23",2.39875032446141e-06,0.389909392517426,0.265,0.068,0.0671602115842705,"18","Ahnak2"
"Ahr2",2.46981299587306e-06,0.448308709716987,0.559,0.231,0.0691498242584539,"18","Ahr"
"Fam63b",2.87855850550434e-06,0.432874209279595,0.471,0.175,0.0805938810371104,"18","Fam63b"
"Xaf13",2.94709213711687e-06,0.623186863322297,0.5,0.198,0.0825126856549983,"18","Xaf1"
"Frat2",2.98965121619154e-06,0.449347703824479,0.294,0.079,0.0837042547509308,"18","Frat2"
"Tiparp2",3.0079433906034e-06,0.513931071011722,1,0.555,0.0842163990501141,"18","Tiparp"
"Slc31a22",3.06320593731788e-06,0.420669565349164,0.471,0.172,0.0857636398330259,"18","Slc31a2"
"Drap11",3.14972780860531e-06,0.432632369926299,0.794,0.452,0.0881860791853316,"18","Drap1"
"Nenf2",3.38707787106558e-06,0.443951343150604,0.618,0.267,0.0948314062340941,"18","Nenf"
"Tppp36",3.62478692755416e-06,0.767608063290249,0.647,0.322,0.101486784397661,"18","Tppp3"
"Sirt2",3.71082254587613e-06,0.51408631932045,0.735,0.364,0.10389560963944,"18","Sirt2"
"Rnf2132",3.80485358050978e-06,0.389185860783162,0.441,0.158,0.106528290547113,"18","Rnf213"
"Pelo",3.91051164403685e-06,0.343058007655445,0.324,0.095,0.109486505009744,"18","Pelo"
"Nop581",4.04968169683491e-06,0.766392897315928,0.559,0.262,0.113382988147984,"18","Nop58"
"Cnp",4.19968322281061e-06,0.762527091392069,0.441,0.165,0.117582730872251,"18","Cnp"
"Rnf13",4.24691121111801e-06,0.455333217839256,0.618,0.266,0.118905020088882,"18","Rnf13"
"Igtp1",4.74459158834083e-06,0.579474256523814,0.441,0.161,0.132839075290367,"18","Igtp"
"Mocs2",4.93843435212572e-06,0.535659575695524,0.5,0.197,0.138266284990816,"18","Mocs2"
"Pptc7",4.9622551676369e-06,0.27451077770513,0.382,0.123,0.138933220183498,"18","Pptc7"
"Klf43",5.12267861437017e-06,0.618713069122417,0.912,0.636,0.143424755845136,"18","Klf4"
"Utrn",5.25092958428188e-06,0.421776887376756,0.412,0.144,0.147015526500724,"18","Utrn"
"Fasn",5.33414424035276e-06,0.327054636189346,0.324,0.096,0.149345370441397,"18","Fasn"
"Ier35",5.75578053932028e-06,0.561655797819689,0.824,0.449,0.161150343539889,"18","Ier3"
"Cxcl10",6.09519531524475e-06,1.28624172194283,0.294,0.084,0.170653278436223,"18","Cxcl10"
"Smurf1",6.59175240872013e-06,0.293266319453739,0.265,0.071,0.184555883939346,"18","Smurf1"
"Tspan41",7.46097351524768e-06,0.250544378564751,0.382,0.122,0.208892336479905,"18","Tspan4"
"Maff2",7.87344885695213e-06,0.491973128278209,0.853,0.547,0.220440821096946,"18","Maff"
"Xdh1",8.41410545128469e-06,0.427775533779614,0.441,0.163,0.235578124425069,"18","Xdh"
"Rock22",8.7234638212265e-06,0.515239676674686,0.529,0.237,0.2442395400667,"18","Rock2"
"Tuba1a5",1.01258389022164e-05,0.690141758016747,0.824,0.527,0.283503237584255,"18","Tuba1a"
"Ier5",1.05680645639685e-05,0.578325811016724,0.941,0.702,0.29588467166199,"18","Ier5"
"Zfp703",1.26396551021071e-05,0.440106892192814,0.618,0.301,0.353885063548794,"18","Zfp703"
"Isg155",1.28071340366625e-05,0.64980793888599,0.765,0.455,0.358574138758477,"18","Isg15"
"Ugdh2",1.44871226380333e-05,0.471711077585205,0.559,0.257,0.405610459619656,"18","Ugdh"
"Arap21",1.46915530029766e-05,0.384995398391198,0.588,0.254,0.411334100977339,"18","Arap2"
"Zfp364",1.50287548239911e-05,0.530731578112376,0.971,0.672,0.420775077562104,"18","Zfp36"
"Plpp21",1.51082640800949e-05,0.283051722445135,0.265,0.075,0.423001177714497,"18","Plpp2"
"Map1b2",1.69490152871045e-05,0.259288238620121,0.735,0.332,0.474538530008353,"18","Map1b"
"Vwa5a2",1.86170311377672e-05,0.299843180345235,0.353,0.119,0.521239637795207,"18","Vwa5a"
"Gnl32",1.89078533886329e-05,0.383107890758757,0.618,0.278,0.529382079174944,"18","Gnl3"
"Cdc42ep42",1.97384492699908e-05,0.293975359175207,0.353,0.118,0.552637102661201,"18","Cdc42ep4"
"mt-Cytb1",1.98635105530876e-05,0.29432017771718,1,0.982,0.556138568465346,"18","mt-Cytb"
"Ezh23",1.99917213777831e-05,0.32707390272058,0.412,0.152,0.559728215135171,"18","Ezh2"
"Chpt1",2.02052079428747e-05,0.272125683832109,0.265,0.074,0.565705411984606,"18","Chpt1"
"Fam234a",2.20173071331453e-05,0.294052510130501,0.265,0.076,0.616440565113801,"18","Fam234a"
"Fos2",2.22763952474091e-05,0.725311564575396,1,0.823,0.623694514136961,"18","Fos"
"Srebf1",2.24910526037272e-05,0.254603962108907,0.353,0.116,0.629704490799155,"18","Srebf1"
"Nr4a14",2.3322321103414e-05,0.363260712341121,0.853,0.527,0.652978346253386,"18","Nr4a1"
"Dennd4c",2.56277820367257e-05,0.290491595411051,0.382,0.135,0.717526641464246,"18","Dennd4c"
"Nudt3",2.75294588920402e-05,0.353940338150081,0.382,0.139,0.770769790059342,"18","Nudt3"
"mt-Nd4l1",2.75916793916712e-05,0.376204306356935,0.882,0.506,0.772511839608012,"18","mt-Nd4l"
"Rras1",2.78535481879778e-05,0.258391202002118,0.294,0.091,0.779843642167002,"18","Rras"
"Lrrc8c",3.05561670473659e-05,0.405657991979786,0.441,0.171,0.855511564992149,"18","Lrrc8c"
"Ptov1",3.17212738150344e-05,0.376903720643813,0.471,0.198,0.888132224273333,"18","Ptov1"
"Cdc14a",3.25018063660219e-05,0.257664957308958,0.294,0.089,0.909985574635882,"18","Cdc14a"
"Acsl3",3.37827829936395e-05,0.342708463596915,0.353,0.121,0.945850358255917,"18","Acsl3"
"Mark31",3.39103904181359e-05,0.362048921829379,0.5,0.216,0.949423110926968,"18","Mark3"
"Rassf45",3.4475363972409e-05,0.331942097361713,0.441,0.174,0.965241240499506,"18","Rassf4"
"Ncald",3.56240504444651e-05,0.465175190178659,0.353,0.127,0.997402164344135,"18","Ncald"
"Rab5c2",3.62469431947587e-05,0.416129338298814,0.794,0.491,1,"18","Rab5c"
"Rrs11",3.98897064120348e-05,0.360661308315933,0.412,0.156,1,"18","Rrs1"
"Klf61",4.3382479542216e-05,0.376389512777819,0.971,0.793,1,"18","Klf6"
"Iqgap2",4.79514385656183e-05,0.348367185260129,0.471,0.192,1,"18","Iqgap2"
"Arhgef7",5.35556821606466e-05,0.31844114930406,0.265,0.078,1,"18","Arhgef7"
"Cyp20a1",5.35948352664289e-05,0.2665378095873,0.324,0.107,1,"18","Cyp20a1"
"Cxcl24",5.75003357636067e-05,0.745806392366866,0.765,0.496,1,"18","Cxcl2"
"mt-Nd41",6.39900235760576e-05,0.326700126302805,1,0.95,1,"18","mt-Nd4"
"Pura",6.89218819927388e-05,0.339437942397711,0.559,0.253,1,"18","Pura"
"Ctnnbip12",7.86884628347225e-05,0.341281799218435,0.382,0.149,1,"18","Ctnnbip1"
"Ppp1r15a2",8.35367124636005e-05,0.613169871148544,0.765,0.476,1,"18","Ppp1r15a"
"Ifih12",8.45465048721759e-05,0.297570113796395,0.265,0.083,1,"18","Ifih1"
