"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spred11",9.01179784381069e-39,0.261553171336809,0.393,0.115,2.52555634572795e-34,"11","Spred1"
"Cmc21",1.20299582420883e-38,0.378040790467685,0.496,0.17,3.37139579734524e-34,"11","Cmc2"
"Irf1",1.4521820526469e-38,0.353145559521878,0.447,0.143,4.06974020254292e-34,"11","Irf1"
"Sav1",1.65766348759233e-38,0.25673972914769,0.402,0.119,4.6456019239775e-34,"11","Sav1"
"Gfpt12",2.80872018816727e-38,0.479009404417199,0.66,0.275,7.87143832733878e-34,"11","Gfpt1"
"Clec2d1",3.14069271542004e-38,0.390187187129894,0.684,0.284,8.80179133496466e-34,"11","Clec2d"
"Ensa",3.16065236392176e-38,0.342167294105442,0.594,0.229,8.85772824989072e-34,"11","Ensa"
"H2-Ab12",5.76418946174252e-38,0.773563340871458,0.992,0.897,1.61541409665334e-33,"11","H2-Ab1"
"Rab9",6.10782989133306e-38,0.3073492751594,0.459,0.15,1.71171932704609e-33,"11","Rab9"
"Ube2e31",1.2320337880602e-37,0.477050421656891,0.807,0.399,3.45277469103871e-33,"11","Ube2e3"
"Lactb",1.36992551292317e-37,0.482006356788595,0.734,0.325,3.83921624996718e-33,"11","Lactb"
"Polr2e",2.10389482086874e-37,0.488220014420112,0.779,0.386,5.89616523548463e-33,"11","Polr2e"
"Skap24",4.7970877396958e-37,0.385091539444789,0.689,0.291,1.34438383904975e-32,"11","Skap2"
"Tap12",5.0249474682685e-37,0.416274273935435,0.578,0.227,1.40824152798225e-32,"11","Tap1"
"Usp181",7.18463564136084e-37,0.37892548741711,0.328,0.09,2.01349413849137e-32,"11","Usp18"
"Ptms2",1.12922427516013e-36,0.494667123218032,0.963,0.694,3.16465103113627e-32,"11","Ptms"
"Rab21",1.750087182357e-36,0.285826210605433,0.385,0.117,4.90461932855548e-32,"11","Rab21"
"Ezh21",2.3665691685728e-36,0.297584856859194,0.447,0.147,6.63231009492527e-32,"11","Ezh2"
"Snd1",5.66897288993591e-36,0.293194816166901,0.434,0.142,1.58872965240454e-31,"11","Snd1"
"Fam129a2",1.93197879743564e-35,0.341687942634443,0.68,0.288,5.41437057981337e-31,"11","Fam129a"
"Pnpla8",2.33108839456754e-35,0.332603003576678,0.566,0.216,6.53287522577554e-31,"11","Pnpla8"
"Nfe2l1",6.59141112377832e-35,0.328049715412091,0.578,0.226,1.84724296743887e-30,"11","Nfe2l1"
"Pdlim51",7.31909946191564e-35,0.322009849029163,0.488,0.175,2.05117762420186e-30,"11","Pdlim5"
"Nmt12",8.00708671860738e-35,0.471815466104699,0.832,0.431,2.24398605288972e-30,"11","Nmt1"
"Ghitm",9.35541903247438e-35,0.450350333302194,0.91,0.513,2.62185618385094e-30,"11","Ghitm"
"Dnm1l",1.01284649960431e-34,0.326977935406069,0.586,0.233,2.83850231514108e-30,"11","Dnm1l"
"Iah1",1.26545974691681e-34,0.309926613701068,0.418,0.138,3.54645094073437e-30,"11","Iah1"
"Cox172",1.27001602016943e-34,0.601698553993197,0.914,0.613,3.55921989652484e-30,"11","Cox17"
"H2-Q61",1.74600036940817e-34,0.427559035502345,0.488,0.178,4.89316603526641e-30,"11","H2-Q6"
"Zmiz2",3.53459597848566e-34,0.296116209543123,0.529,0.197,9.90570522970606e-30,"11","Zmiz2"
"Nagk",8.33603817836486e-34,0.283892041408775,0.414,0.137,2.33617469948675e-29,"11","Nagk"
"Stk4",1.00697529975414e-33,0.364933609943323,0.787,0.369,2.82204827756097e-29,"11","Stk4"
"Arhgap313",1.07378815758248e-33,0.539279176373031,0.68,0.317,3.00929131162491e-29,"11","Arhgap31"
"Tyrobp4",1.16531550656161e-33,0.335287248891671,0.975,0.559,3.26579670713891e-29,"11","Tyrobp"
"Tmem106a2",1.53645100379973e-33,0.308221903687502,0.393,0.128,4.30590393814875e-29,"11","Tmem106a"
"Csf2rb22",2.07538103758693e-33,0.296334928180627,0.389,0.126,5.81625535783738e-29,"11","Csf2rb2"
"Tuba1b1",2.81591484405042e-33,0.509081690907401,0.91,0.59,7.89160135045132e-29,"11","Tuba1b"
"Specc1",4.63415396984781e-33,0.325799745567656,0.311,0.089,1.29872165004985e-28,"11","Specc1"
"Tmcc31",5.03542947788556e-33,0.285481328136088,0.484,0.169,1.41117911117743e-28,"11","Tmcc3"
"Rps193",5.37256358053177e-33,0.405521239143693,1,0.998,1.50566094344403e-28,"11","Rps19"
"Ak21",5.62966240604526e-33,0.377659594147382,0.594,0.254,1.57771288929418e-28,"11","Ak2"
"Tax1bp3",6.7600137489088e-33,0.356875237371266,0.648,0.28,1.89449385313169e-28,"11","Tax1bp3"
"Ndnl2",7.48469357256572e-33,0.461696488612409,0.537,0.211,2.09758537371154e-28,"11","Ndnl2"
"Mthfs",8.04075869605449e-33,0.29250115121212,0.471,0.166,2.25342262456927e-28,"11","Mthfs"
"Rabgap1l",8.97107280950934e-33,0.270089741547582,0.508,0.184,2.51414315486499e-28,"11","Rabgap1l"
